proteinID	geneID	uniprot	protein_name	gene_name
CPLX0-222			RNA polymerase sigma 28	RNA polymerase sigma 28 holoenzyme, RNA polymerase sigma F
RNAPE-CPLX			RNA polymerase sigma 24	RNA polymerase sigma E, RNA polymerase sigma 24 holoenzyme
RNAP32-CPLX			RNA polymerase sigma 32	RNA polymerase sigma 32 holoenzyme, RNA polymerase sigma H
RNAPS-CPLX			RNA polymerase sigma S	RNA polymerase sigma 38, RNA polymerase sigma 38 holoenzyme
RNAP54-CPLX			RNA polymerase sigma 54	RNA polymerase sigma 54 holoenzyme, RNA polymerase sigmaN
CPLX0-221			RNA polymerase sigma 19	sigma fecI
SRP-CPLX			Signal Recognition Particle	SRP
CPLX0-8028			CsrA complex with McaS RNA	
CPLX0-3953			30S ribosomal subunit	ribosome, small subunit
CPLX0-8053			SelB-L-selenocysteinyl-tRNA<sup>sec</sup>	
CPLX0-3962			50S ribosomal subunit	ribosome, large subunit
CPLX0-1041			CsrA complex with CsrB RNA	
CPLX0-8253			CsrA complex with CsrC RNA	
CPLX0-3964			ribosome	
CPLX0-1382			RNase P	ribonuclease P
MONOMER0-2341			NanR-NANA	B3226, YhcK, NanR
MONOMER0-158			MalT-Maltotriose-ATP DNA-binding transcriptional activator	MalA, B3418, MalT, MalT-maltotriose-ATP
MONOMER-2720			Cbl-APS	B1987, Cbl
CPLX0-8083			IscR-2Fe-2S DNA-binding transcriptional repressor	
CPLX0-7761			bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase
CPLX0-7701			MntR-Mn<sup>2+</sup>	
CPLX0-2781			CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator	
MONOMER0-2201			AllR-glyox	YbbU, B0506, AllR
MONOMER0-1441			MhpR-3HPP DNA-binding transcriptional activator	B0346, MhpR
CPLX0-8309			PyrR-BTS	
CPLX0-8070			DksA-ppGpp	
CPLX0-7750			LsrR-P-DPD	
CPLX0-7680			Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor	
CPLX-172			AraC-L-arabinose DNA-binding transcriptional activator	AraC-arabinose
MONOMER0-2081			HcaR-HCA DNA-binding transcriptional dual regulator	B2537, YfhT, PhdR, HcaR
MONOMER-59			PdhR-pyruvate	B0113, YacB, GenA, PdhR
CPLX0-8286			CsqR-6-sulfo-D-quinovose	YihW-6-sulfo-D-quinovose
CPLX0-8061			NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor	
CPLX0-7743			MprA-CCCP	
CPLX0-7670			ArgP-lysine	
CPLX-124			RhaS-L-rhamnose DNA-binding transcriptional activator	RhaS-rhamnose
MONOMER0-165			XylR-Xylose DNA-binding transcriptional dual regulator	B3569, XylR, XylR-xylose
MONOMER-55			GntR-gluconate	B3438, GntR
CPLX0-8246			ExuR-&alpha;-D-glucuronate	
CPLX0-8057			GlpR-glycerol	
CPLX0-7736			ArsR-arsenite	
CPLX0-7639			Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator	
MONOMER0-49			BetI-choline	B0313, BetI
MONOMER0-162			TyrR-Tyrosine DNA-binding transcriptional repressor	B1323, TyrR, TyrR-tyr
MONOMER-52			GalR-galactose	B2837, GalR
CPLX0-8209			UxuR-&alpha;-D-galacturonate,&alpha;-D-glucuronate	
CPLX0-8051			CytR-cytidine	
CPLX0-7716			NemR-methylglyoxal	
CPLX0-7606			IclR-glyox	
MONOMER0-2421			PrpR-2-methylcitrate DNA-binding transcriptional dual regulator	B0330, YahP, PrpR
MONOMER0-159			LacI-allolactose	B0345, LacI
MONOMER-47			RhaR-L-rhamnose DNA-binding transcriptional activator	B3906, RhaR, RhaR-rhamnose
CPLX0-8085			PuuR-putrescine	
CPLX0-8026			MetJ-MTA	
CPLX0-7702			CueR-Cu<sup>+</sup>	
CPLX0-6			ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator	ModE
MONOMER0-2221			AllS-allantoin DNA-binding transcriptional activator	YbbS, B0504, AllS
MONOMER0-155			Lrp-Leucine DNA-binding transcriptional dual regulator	Lss, Lrs, LivR, Ihb, AlsB, B0889, LstR, Mbf, OppI, RblA, Lrp, Lrp-leu
CPLX0-8577			FrlR-N<sup>6</sup>-(6-phospho-D-fructosyl)-L-lysine	
CPLX0-8071			AllR-allantoin	
CPLX0-7751			NsrR-nitric oxide	
CPLX0-7681			XapR-xanthosine DNA-binding transcriptional activator	
CPLX0-226			CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP
MONOMER0-2101			UxuR-fructuronate	B4324, UxuR
MONOMER-60			RbsR-D-ribose	B3753, RbsR
CPLX0-8287			DgoR-D-galactonate	
CPLX0-8062			CaiF-L-carnitine DNA-binding Transcriptional Activator	
CPLX0-7746			MurR-MurNAc-6-P	
CPLX0-7671			ArgP-arginine  DNA-binding transcriptional dual regulator	
CPLX-125			TrpR-Tryptophan DNA-binding transcriptional repressor	TrpR-trp
MONOMER0-1781			NikR-Ni transcriptional repressor	B3481, YhhG, NikR
MONOMER-56			GutR-sorbitol	B2707, GutR, SrlR
CPLX0-8257			XynR-D-xylonate	
CPLX0-8058			RutR-thymine	
CPLX0-7739			ArsR-antimonite	
CPLX0-7650			FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator	
MONOMER0-562			GlcC-Glycolate DNA-binding transcriptional dual regulator	B2980, YghN, GlcC, GlcC-glycolate
MONOMER0-163			TyrR-Phenylalanine DNA-binding transcriptional repressor	B1323, TyrR, TyrR-phe
MONOMER-53			GalS-galactose	B2151, MglD, GalS
CPLX0-8210			ExuR-&alpha;-D-galacturonate, &alpha;-D-glucuronate-DNA-binding transcriptional repressor	
CPLX0-8055			AcrR-ethidium	
CPLX0-7729			PaaX-phenylacetyl-CoA	
CPLX0-7618			RcnR-nickel	
MONOMER0-2482			AlsR-allose	RpiR, YjcY, AlsR
MONOMER0-160			DnaA-ATP DNA-binding transcriptional dual regulator	B3702, DnaA, DnaA-ATP
MONOMER-48			BirA-bio-5'-AMP DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase	DhbB, BioR, BirA, BirA-bio-5'-AMP
CPLX0-8088			LsrR-AI-2	
CPLX0-8027			MetJ-adenine	
CPLX0-7714			DsdC-D-serine DNA-binding transcriptional dual regulator	
CPLX0-7541			AlaS-L-alanine DNA-binding transcriptional repressor	
MONOMER0-2261			NagC-NAcGlc-6-P	NagR, B0676, NagC
MONOMER0-157			MetJ-S-adenosylmethionine	B3938, MetJ, MetJ-SAM
CPLX0-8579			MprA-salicylate	
CPLX0-8074			ComR-Cu(I)	
CPLX0-7752			MetR-L-homocysteine	
CPLX0-7689			DNA-binding transcriptional dual regulator LldR-L-lactate	
CPLX0-228			ArgR-L-arginine DNA-binding transcriptional dual regulator	ArgR-arg
MONOMER0-2162			UlaR-L-ascorbate-6P	YjfQ, B4191, UlaR
MONOMER0-1301			IdnR-5-ketogluconate DNA-binding transcriptional dual regulator	B4264, YjgS, GntH, IdnR
CPLX0-8293			GlaR-glutarate	
CPLX0-8069			NfeR-nickel	YqjI-nickel
CPLX0-7749			LsrR-DHPD	
CPLX0-7677			ZntR-Zn<sup>2+</sup> transcriptional activator	
CPLX-127			Cra-fructose-1-phosphate	FruR-fructose-1-phosphate
MONOMER0-183			FhlA-Formate DNA-binding transcriptional activator	Fhl, FhlA, FhlA-formate, B2731
MONOMER-58			MarR-salicylate	B1530, SoxQ, InaR, CfxB, MarR
CPLX0-8258			ChbR-<i>N</i>-monoacetylchitobiose 6'-phosphate	
CPLX0-8060			GcvA-gly	
CPLX0-7742			MprA-2,4-dinitrophenol	
CPLX0-7651			RutR-uracil	
CPLX-123			PurR-Hypoxanthine DNA-binding transcriptional repressor	PurR-hypoxanthine
MONOMER0-941			GcvR-gly	YffD, B2479, GcvR
MONOMER0-164			CynR-Cyanate DNA-binding transcriptional dual regulator	B0338, CynR, CynR-Cyanate
MONOMER-54			GlpR-glycerol-3-phosphate	B3423, GlpR
CPLX0-8235			FrmR-formol	
CPLX0-8056			TreR-trehalose 6-phosphate	
CPLX0-7735			AsnC-L-asparagine	
CPLX0-7619			RcnR-Co<SUP>2+</SUP>	
MONOMER0-46			NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator	YaaB, AntO, B0020, NhaR, NhaR-Na<SUP>+</SUP>
MONOMER0-161			MelR-Melibiose transcriptional activator	B4118, MelR, MelR-melibiose
MONOMER-51			FadR-acyl-CoA	B1187, Ole, Dec, ThdB, OleR, FadR
CPLX0-8162			YebK-2-dehydro-3-deoxy-D-gluconate 6-phosphate	
CPLX0-8048			Dan-L-tartrate DNA-binding transcriptional activator	
CPLX0-7715			IlvY-2-acetolactate DNA-binding transcriptional dual regulator	
CPLX0-7605			IclR-pyruvate DNA-binding transcriptional repressor	
ORNDECARBOXDEG-CPLX			inducible ornithine decarboxylase	
CPLX0-2401			tryptophan synthase, &beta; subunit dimer	TSase &beta;2, B protein, &beta;<sub>2</sub> protein
CPLX0-7993			ureidoglycolate dehydrogenase	
NAP-CPLX			periplasmic nitrate reductase	Nap
CPLX0-2161			tripartite efflux pump EmrKY-TolC	
CPLX0-7974			RNA decapping hydrolase	
MALIC-NAD-CPLX			malate dehydrogenase (oxaloacetate-decarboxylating)	
CPLX0-1821			oligoribonuclease	
CPLX0-7947			<i>N</i>-succinylarginine dihydrolase	
KDO-8PPHOSPHAT-CPLX			3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC	
CPLX0-1262			D-arabinose 5-phosphate isomerase KdsD	
CPLX0-7923			ATP-independent periplasmic chaperone	
GUANYL-KIN-CPLX			guanylate kinase	GMP kinase
CPLX-9493			CcmAB	
CPLX0-7885			glutathione hydrolase	&gamma;-glutamyl transpeptidase
GLYC3PDEHYDROGBIOSYN-CPLX			glycerol-3-phosphate dehydrogenase, biosynthetic	
CPLX-165			mannose-specific PTS enzyme II	EII<sup>man</sup>, Enzyme II <sup>mannose</sup>
CPLX0-7838			cysteine sulfinate desulfinase	
GDPMANDEHYDRA-CPLX				
CHEZ-CPLX			chemotaxis protein CheZ	protein phosphatase CheZ, CheZ, chemotaxis accessory protein CheZ, CheY-P phosphatase
CPLX0-7808				
FORMHYDROG2-CPLX			hydrogenase 2	HYD2, hydrogenase-2, hydrogen:menaquinone oxidoreductase 2
ATPD-CPLX			ATP synthase F<sub>1</sub> complex subunit &beta;	
CPLX0-7760			aconitate hydratase A	aconitase, isocitrate hydro-lyase, aconitate hydratase 1
ERYTH4PDEHYDROG-CPLX				
ASNSYNA-CPLX			asparagine synthetase A	
CPLX0-7731			DNA-binding transcriptional repressor PaaX	
DSBC-CPLX			protein disulfide isomerase DsbC	DsbC, disulfide oxidoreductase 2, thiol:disulfide oxidoreductase DsbC, protein disulfide oxidoreductase DsbC
ANSA-CPLX			L-asparaginase 1	
CPLX0-7710			DNA-binding transcriptional repressor MarR	
DCYSDESULF-CPLX				
ADENYLOSUCCINATE-SYN-DIMER			adenylosuccinate synthetase	
CPLX0-902			tautomerase PptA	
ACETOACETYL-COA-TRANSFER-CPLX				
CPLX0-7666			DNA-binding transcriptional activator CaiF	
CPLX0-8578			DNA-binding transcriptional repressor DgoR	
ABC-54-CPLX			divisome protein complex FtsEX	
CPLX0-7642			osmolyte:H<sup>+</sup> symporter ProP	
CPLX0-8554				
ABC-3-CPLX			lysine / arginine / ornithine ABC transporter	
CPLX0-7615				
CPLX0-841			MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor	
ABC-14-CPLX			histidine ABC transporter	
CPLX0-7530			outer membrane porin PhoE	
CPLX0-8290			aminopeptidase YpdF	
CPLX0-7422			predicted rRNA methyltransferase	
CPLX0-8260			dTMP kinase	
UDPGLUCEPIM-CPLX				
CPLX0-3958			<I>Eco</I>KI restriction-modification system	
CPLX0-8234			DNA-binding transcriptional repressor FrmR	FrmR
TORS-CPLX			sensory histidine kinase TorS	
CPLX0-3934			GroEL-GroES chaperonin complex	GroE
CPLX0-8208			S6:S18 ribosomal subunit complex	S6:S18
SUCC-DEHASE			succinate:quinone oxidoreductase subcomplex	SQR
CPLX0-3821			HypA-HypB heterodimer	
CPLX0-8187			periplasmic serine endoprotease	
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX			ribonucleoside-diphosphate reductase 1	ribonucleotide reductase I, RDPR-I, RNR
CPLX0-3541			ATP-dependent RNA helicase RhlB	RhlB, MmrA
CPLX0-8164				
PRPPAMIDOTRANS-CPLX				
CPLX0-3181				
CPLX0-8122			aminopeptidase B	
PHOSPHO-CREC			CreC-<i>N</i>-phospho-L-histidine	PhoM, CreC, CreC-P<sup>his265</sup>, sensory histidine kinase CreC - phosphorylated
CPLX0-3			primosomal replication protein N	PriB
CPLX0-8103			methyl-accepting chemotaxis protein - serine-sensing	
PC00084			RcsAB DNA-binding transcriptional dual regulator	RcsAB
CPLX0-253			NADPH:quinone oxidoreductase MdaB	NADPH dehydrogenase (quinone)
CPLX0-8032				
ORNCARBAMTRANSFERF-CPLX			ornithine carbamoyltransferase	OTCase-2
CPLX0-238				
CPLX0-7989			murein tripeptide amidase A	
NADH-DHI-CPLX			NADH:quinone oxidoreductase I	NDH-1, NADH dhI, complex I, NADH dehydrogenase I
CPLX0-2081			dihydroxyacetone kinase	DHAK, DHA kinase
CPLX0-7964			outer membrane channel TolC	
LYXK-CPLX			L-xylulose kinase	
CPLX0-1683			adenine deaminase	cryptic adenine deaminase
CPLX0-7944			outer membrane phospholipase A	detergent resistant (DR) phospholipase A
IMIDHISTID-CPLX				
CPLX0-1241			MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity	
CPLX0-7917			disulfide reductase / organic hydroperoxide reductase	
GSP-CPLX			fused glutathionylspermidine amidase / glutathionylspermidine synthetase	
CPLX-7524			allantoate amidohydrolase	
CPLX0-7878				
GLUTDECARBOXB-CPLX				
CPLX-158			fructose-specific PTS enzyme II	EII<sup>Fru</sup>, Enzyme II<sup>Fru</sup>, fructose PTS permease
CPLX0-7835			putative ethanolamine catabolic microcompartment shell protein EutM	
GCVMULTI-CPLX			glycine cleavage system	
CARBPSYN-CPLX				
CPLX0-7805				YagTSR, PaoABC
FOLXTET-CPLX			dihydroneopterin triphosphate 2'-epimerase	
ATOD-CPLX			&alpha; complex	
CPLX0-7757			HipB antitoxin / DNA-binding transcriptional repressor	
ENTE-CPLX			2,3-dihydroxybenzoate-[aryl-carrier protein] ligase	enterobactin synthetase component E, enterochelin synthase E, enterobactin synthase component E
AROG-CPLX				
CPLX0-7726			23S rRNA m<sup>5</sup>C1962 methyltransferase	ribosomal RNA large subunit methyltransferase I
DIMESULFREDUCT-CPLX				DMSO/TMAO reductase, menaquinol:dimethyl sulfoxide oxidoreductase
AMINEOXID-CPLX			copper-containing amine oxidase	
CPLX0-7707			NikR-Ni DNA-binding transcriptional repressor	
DALADEHYDROG-CPLX			D-amino acid dehydrogenase	
ACYLCOASYN-CPLX			long-chain-fatty-acid&mdash;CoA ligase	
CPLX0-7686			cell division factor ZapB	
CPLX0-861			protein/nucleic acid deglycase 1	
ABC-70-CPLX			sulfate/thiosulfate ABC transporter	
CPLX0-7659			fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	
CPLX0-8573			glutathione <i>S</i>-transferase YfcF	
ABC-5-CPLX			vitamin B<sub>12</sub> ABC transporter	
CPLX0-7632			NAD(P)H:quinone oxidoreductase	
CPLX0-8550			protein-lysine deacetylase/desuccinylase/lipoamidase	
ABC-27-CPLX			phosphate ABC transporter	pstSCAB
CPLX0-7610			<I>N</I>-acetyl-D-galactosamine specific PTS (cryptic)	
CPLX0-8312			DNA-binding transcriptional  repressor CRP-Sxy	CRP-Sxy
ABC-11-CPLX			iron(III) hydroxamate ABC transporter	
CPLX0-7521			carbonic anhydrase 2	
CPLX0-8281			DUF945 domain-containing protein YdgA	
CPLX0-7418			DNA-binding transcriptional repressor MprA	
CPLX0-8255			Mlc-PtsG	
TYRB-DIMER			tyrosine aminotransferase	tyrosine aminotransferase,  tyrosine-repressible, PLP-dependent
CPLX0-3955			50S ribosomal subunit protein L7/L12 dimer	
CPLX0-8231				
THRS-CPLX				
CPLX0-3931			ATP-dependent DNA helicase Rep	
CPLX0-8205				
SORB6PDEHYDROG-CPLX				
CPLX0-3801			DNA polymerase III, preinitiation complex	clamp-loader complex
CPLX0-8184			nonspecific DNA-binding protein YbiB	
RHAMNULPALDOL-CPLX				
CPLX0-3482			aldehyde dehydrogenase B	
CPLX0-8159			putrescine aminotransferase	
PPX-CPLX				
CPLX0-3121			quinone reductase	
CPLX0-8119			putative PTS enzyme II FryBCA	
PHOSPHASERDECARB-DIMER			phosphatidylserine decarboxylase	
CPLX0-2921			periplasmic serine endoprotease DegP	
CPLX0-8097				
PC00033			DNA-binding transcriptional repressor PurR	PurR
CPLX0-251			2-methylcitrate synthase	citrate synthase 2
CPLX0-8015			ethanol dehydrogenase / alcohol dehydrogenase	
CPLX0-8012			glucose-1-phosphate thymidylyltransferase 2	
NRFMULTI-CPLX			periplasmic nitrite reductase NrfAB	
CPLX0-236			arylamine <i>N</i>-acetyltransferase	
CPLX0-7986			HypCD complex involved in hydrogenase maturation	
MUTHLS-CPLX			MutHLS complex, methyl-directed mismatch repair	
CPLX0-201			fructose-6-phosphate aldolase 1	FSA 1
CPLX0-7961				
LYSDECARBOX-CPLX			lysine decarboxylase 1	LdcI, LDC1
CPLX0-1621			RNase G	ribonuclease G
CPLX0-7939			regulator of KefC-mediated potassium transport and quinone oxidoreductase	
HYDROG3-CPLX			hydrogenase 3	
